"FUELTYPE","LB","HR","CFB","LengthToBreadthRatioAtTime"
"NF",-1,0,-1,NA
"M1",-1,0,-1,NA
"NF",-0.99,0,-1,NA
"M1",-0.99,0,-1,NA
"NF",-0.98,0,-1,NA
"M1",-0.98,0,-1,NA
"NF",-0.97,0,-1,NA
"M1",-0.97,0,-1,NA
"NF",-0.96,0,-1,NA
"M1",-0.96,0,-1,NA
"NF",-0.95,0,-1,NA
"M1",-0.95,0,-1,NA
"NF",-0.94,0,-1,NA
"M1",-0.94,0,-1,NA
"NF",-0.93,0,-1,NA
"M1",-0.93,0,-1,NA
"NF",-0.92,0,-1,NA
"M1",-0.92,0,-1,NA
"NF",-0.91,0,-1,NA
"M1",-0.91,0,-1,NA
"NF",-0.9,0,-1,NA
"M1",-0.9,0,-1,NA
"NF",-0.89,0,-1,NA
"M1",-0.89,0,-1,NA
"NF",-0.88,0,-1,NA
"M1",-0.88,0,-1,NA
"NF",-0.87,0,-1,NA
"M1",-0.87,0,-1,NA
"NF",-0.86,0,-1,NA
"M1",-0.86,0,-1,NA
"NF",-0.85,0,-1,NA
"M1",-0.85,0,-1,NA
"NF",-0.84,0,-1,NA
"M1",-0.84,0,-1,NA
"NF",-0.83,0,-1,NA
"M1",-0.83,0,-1,NA
"NF",-0.82,0,-1,NA
"M1",-0.82,0,-1,NA
"NF",-0.81,0,-1,NA
"M1",-0.81,0,-1,NA
"NF",-0.8,0,-1,NA
"M1",-0.8,0,-1,NA
"NF",-0.79,0,-1,NA
"M1",-0.79,0,-1,NA
"NF",-0.78,0,-1,NA
"M1",-0.78,0,-1,NA
"NF",-0.77,0,-1,NA
"M1",-0.77,0,-1,NA
"NF",-0.76,0,-1,NA
"M1",-0.76,0,-1,NA
"NF",-0.75,0,-1,NA
"M1",-0.75,0,-1,NA
"NF",-0.74,0,-1,NA
"M1",-0.74,0,-1,NA
"NF",-0.73,0,-1,NA
"M1",-0.73,0,-1,NA
"NF",-0.72,0,-1,NA
"M1",-0.72,0,-1,NA
"NF",-0.71,0,-1,NA
"M1",-0.71,0,-1,NA
"NF",-0.7,0,-1,NA
"M1",-0.7,0,-1,NA
"NF",-0.69,0,-1,NA
"M1",-0.69,0,-1,NA
"NF",-0.68,0,-1,NA
"M1",-0.68,0,-1,NA
"NF",-0.67,0,-1,NA
"M1",-0.67,0,-1,NA
"NF",-0.66,0,-1,NA
"M1",-0.66,0,-1,NA
"NF",-0.65,0,-1,NA
"M1",-0.65,0,-1,NA
"NF",-0.64,0,-1,NA
"M1",-0.64,0,-1,NA
"NF",-0.63,0,-1,NA
"M1",-0.63,0,-1,NA
"NF",-0.62,0,-1,NA
"M1",-0.62,0,-1,NA
"NF",-0.61,0,-1,NA
"M1",-0.61,0,-1,NA
"NF",-0.6,0,-1,NA
"M1",-0.6,0,-1,NA
"NF",-0.59,0,-1,NA
"M1",-0.59,0,-1,NA
"NF",-0.58,0,-1,NA
"M1",-0.58,0,-1,NA
"NF",-0.57,0,-1,NA
"M1",-0.57,0,-1,NA
"NF",-0.56,0,-1,NA
"M1",-0.56,0,-1,NA
"NF",-0.55,0,-1,NA
"M1",-0.55,0,-1,NA
"NF",-0.54,0,-1,NA
"M1",-0.54,0,-1,NA
"NF",-0.53,0,-1,NA
"M1",-0.53,0,-1,NA
"NF",-0.52,0,-1,NA
"M1",-0.52,0,-1,NA
"NF",-0.51,0,-1,NA
"M1",-0.51,0,-1,NA
"NF",-0.5,0,-1,NA
"M1",-0.5,0,-1,NA
"NF",-0.49,0,-1,NA
"M1",-0.49,0,-1,NA
"NF",-0.48,0,-1,NA
"M1",-0.48,0,-1,NA
"NF",-0.47,0,-1,NA
"M1",-0.47,0,-1,NA
"NF",-0.46,0,-1,NA
"M1",-0.46,0,-1,NA
"NF",-0.45,0,-1,NA
"M1",-0.45,0,-1,NA
"NF",-0.44,0,-1,NA
"M1",-0.44,0,-1,NA
"NF",-0.43,0,-1,NA
"M1",-0.43,0,-1,NA
"NF",-0.42,0,-1,NA
"M1",-0.42,0,-1,NA
"NF",-0.41,0,-1,NA
"M1",-0.41,0,-1,NA
"NF",-0.4,0,-1,NA
"M1",-0.4,0,-1,NA
"NF",-0.39,0,-1,NA
"M1",-0.39,0,-1,NA
"NF",-0.38,0,-1,NA
"M1",-0.38,0,-1,NA
"NF",-0.37,0,-1,NA
"M1",-0.37,0,-1,NA
"NF",-0.36,0,-1,NA
"M1",-0.36,0,-1,NA
"NF",-0.35,0,-1,NA
"M1",-0.35,0,-1,NA
"NF",-0.34,0,-1,NA
"M1",-0.34,0,-1,NA
"NF",-0.33,0,-1,NA
"M1",-0.33,0,-1,NA
"NF",-0.32,0,-1,NA
"M1",-0.32,0,-1,NA
"NF",-0.31,0,-1,NA
"M1",-0.31,0,-1,NA
"NF",-0.3,0,-1,NA
"M1",-0.3,0,-1,NA
"NF",-0.29,0,-1,NA
"M1",-0.29,0,-1,NA
"NF",-0.28,0,-1,NA
"M1",-0.28,0,-1,NA
"NF",-0.27,0,-1,NA
"M1",-0.27,0,-1,NA
"NF",-0.26,0,-1,NA
"M1",-0.26,0,-1,NA
"NF",-0.25,0,-1,NA
"M1",-0.25,0,-1,NA
"NF",-0.24,0,-1,NA
"M1",-0.24,0,-1,NA
"NF",-0.23,0,-1,NA
"M1",-0.23,0,-1,NA
"NF",-0.22,0,-1,NA
"M1",-0.22,0,-1,NA
"NF",-0.21,0,-1,NA
"M1",-0.21,0,-1,NA
"NF",-0.2,0,-1,NA
"M1",-0.2,0,-1,NA
"NF",-0.19,0,-1,NA
"M1",-0.19,0,-1,NA
"NF",-0.18,0,-1,NA
"M1",-0.18,0,-1,NA
"NF",-0.17,0,-1,NA
"M1",-0.17,0,-1,NA
"NF",-0.16,0,-1,NA
"M1",-0.16,0,-1,NA
"NF",-0.15,0,-1,NA
"M1",-0.15,0,-1,NA
"NF",-0.14,0,-1,NA
"M1",-0.14,0,-1,NA
"NF",-0.13,0,-1,NA
"M1",-0.13,0,-1,NA
"NF",-0.12,0,-1,NA
"M1",-0.12,0,-1,NA
"NF",-0.11,0,-1,NA
"M1",-0.11,0,-1,NA
"NF",-0.1,0,-1,NA
"M1",-0.1,0,-1,NA
"NF",-0.09,0,-1,NA
"M1",-0.09,0,-1,NA
"NF",-0.08,0,-1,NA
"M1",-0.08,0,-1,NA
"NF",-0.07,0,-1,NA
"M1",-0.07,0,-1,NA
"NF",-0.0599999999999999,0,-1,NA
"M1",-0.0599999999999999,0,-1,NA
